year,file,total_pixels_in_co,valid_pixels,nan_pixels,coverage,mean_pct,std_pct,min_pct,max_pct,p50_pct,p95_pct,prop_gt_0,prop_gt_10,prop_gt_50,built_km2_approx
2007,GAIA_BUILT_PCT_1km_CO_2007.tif,928387,926894,1493,0.9983918344397326,0.7765720783606324,8.778048965640023,0.0,100.0,0.0,0.0,0.007765720783606324,0.007765720783606324,0.007765720783606324,8792.735241630002
2008,GAIA_BUILT_PCT_1km_CO_2008.tif,928387,926894,1493,0.9983918344397326,0.7905974145910967,8.856336555661802,0.0,100.0,0.0,0.0,0.007905974145910967,0.007905974145910967,0.007905974145910967,8951.684965762748
2009,GAIA_BUILT_PCT_1km_CO_2009.tif,928387,926894,1493,0.9983918344397326,0.8157351326041598,8.994892409242661,0.0,100.0,0.0,0.0,0.008157351326041597,0.008157351326041597,0.008157351326041597,9236.029100179241
2010,GAIA_BUILT_PCT_1km_CO_2010.tif,928387,926894,1493,0.9983918344397326,0.8420596098367235,9.137663629022136,0.0,100.0,0.0,0.0,0.008420596098367235,0.008420596098367235,0.008420596098367235,9534.369776863869
2011,GAIA_BUILT_PCT_1km_CO_2011.tif,928387,926894,1493,0.9983918344397326,0.8786333712377036,9.332274134567513,0.0,100.0,0.0,0.0,0.008786333712377036,0.008786333712377036,0.008786333712377036,9949.101420854642
2012,GAIA_BUILT_PCT_1km_CO_2012.tif,928387,926894,1493,0.9983918344397326,0.9491916011971164,9.696298026769211,0.0,100.0,0.0,0.0,0.009491916011971163,0.009491916011971163,0.009491916011971163,10749.553768735641
2013,GAIA_BUILT_PCT_1km_CO_2013.tif,928387,926894,1493,0.9983918344397326,1.065278230304652,10.266109551456394,0.0,100.0,0.0,0.0,0.010652782303046518,0.010652782303046518,0.010652782303046518,12066.535384657456
2014,GAIA_BUILT_PCT_1km_CO_2014.tif,928387,926894,1493,0.9983918344397326,1.2423211284138207,11.076495432007304,0.0,100.0,0.0,0.0,0.012423211284138208,0.012423211284138208,0.012423211284138208,14070.941670590482
2015,GAIA_BUILT_PCT_1km_CO_2015.tif,928387,926894,1493,0.9983918344397326,1.5369610764553443,12.301782728328268,0.0,100.0,0.0,0.0,0.015369610764553444,0.015369610764553444,0.015369610764553444,17413.20479180917
2016,GAIA_BUILT_PCT_1km_CO_2016.tif,928387,926894,1493,0.9983918344397326,1.8222148379426342,13.375388475803053,0.0,100.0,0.0,0.0,0.01822214837942634,0.01822214837942634,0.01822214837942634,20648.26972141742
2017,GAIA_BUILT_PCT_1km_CO_2017.tif,928387,926894,1493,0.9983918344397326,1.8234015971621351,13.379662414712865,0.0,100.0,0.0,0.0,0.018234015971621352,0.018234015971621352,0.018234015971621352,20661.710381178695
2018,GAIA_BUILT_PCT_1km_CO_2018.tif,928387,926894,1493,0.9983918344397326,1.8596516969577968,13.50951017845509,0.0,100.0,0.0,0.0,0.018596516969577967,0.018596516969577967,0.018596516969577967,21072.090985157123
2019,GAIA_BUILT_PCT_1km_CO_2019.tif,928387,926894,1493,0.9983918344397326,1.8596516969577968,13.50951017845509,0.0,100.0,0.0,0.0,0.018596516969577967,0.018596516969577967,0.018596516969577967,21072.090985157123
